label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,0.728168,0.629335,-0.0,0.685128,0.594643,-0.010008,0.649298,0.528784,-0.012146,0.628508,0.476078,-0.015471,0.607131,0.455683,-0.017011,0.66484,0.470666,0.00377,0.673184,0.431062,-0.014883,0.67978,0.481672,-0.026566,0.681526,0.520047,-0.031057,0.692868,0.465969,0.002268,0.701646,0.431543,-0.01986,0.705939,0.497925,-0.027291,0.705472,0.541661,-0.026179,0.719279,0.465965,-0.002437,0.728324,0.438716,-0.024534,0.726357,0.502263,-0.022574,0.721511,0.545906,-0.014142,0.743723,0.471058,-0.007677,0.748931,0.441712,-0.020058,0.745051,0.488974,-0.015274,0.738162,0.523607,-0.007407
A,0.727484,0.628951,-0.0,0.684689,0.595545,-0.011094,0.648806,0.527719,-0.013575,0.627613,0.474367,-0.016989,0.605932,0.455346,-0.018512,0.664024,0.47089,0.00187,0.673548,0.430713,-0.017645,0.68065,0.483795,-0.029252,0.682652,0.521298,-0.033593,0.69174,0.466238,0.000591,0.702762,0.432026,-0.022086,0.706743,0.500599,-0.028867,0.705559,0.542516,-0.027289,0.718048,0.466063,-0.004044,0.729108,0.438546,-0.02677,0.727225,0.504344,-0.023864,0.722045,0.546217,-0.014773,0.742401,0.47116,-0.009312,0.749691,0.440459,-0.021753,0.746414,0.488768,-0.016244,0.739553,0.522055,-0.007897
A,0.727714,0.628721,-0.0,0.685442,0.597343,-0.011739,0.649131,0.529593,-0.01454,0.627704,0.475684,-0.01811,0.606195,0.455237,-0.019734,0.664319,0.471364,0.000763,0.673231,0.430722,-0.019065,0.680592,0.484468,-0.030604,0.682766,0.522264,-0.034831,0.69208,0.466318,-0.000271,0.702588,0.431816,-0.023193,0.706555,0.500903,-0.029867,0.705182,0.542603,-0.028182,0.718502,0.465894,-0.004703,0.729083,0.438224,-0.027833,0.727324,0.50469,-0.024883,0.722162,0.546286,-0.015684,0.743074,0.470669,-0.009777,0.749811,0.43999,-0.022568,0.746765,0.488699,-0.017099,0.740011,0.521692,-0.008711
A,0.72746,0.629659,-0.0,0.68406,0.598409,-0.009196,0.647347,0.529224,-0.01008,0.626961,0.474154,-0.012327,0.605302,0.457011,-0.01267,0.666248,0.470652,0.006043,0.673216,0.430955,-0.012415,0.679023,0.485294,-0.023388,0.681087,0.522174,-0.027433,0.6936,0.466781,0.003978,0.700908,0.432532,-0.017492,0.704087,0.50192,-0.023718,0.703734,0.541372,-0.021896,0.719497,0.467314,-0.001583,0.727143,0.438546,-0.023018,0.72521,0.504933,-0.019393,0.721388,0.544517,-0.010173,0.744125,0.472763,-0.007742,0.748173,0.441751,-0.018918,0.745028,0.490199,-0.012798,0.739961,0.521041,-0.004338
A,0.725457,0.626944,-0.0,0.68271,0.591132,-0.008833,0.646803,0.525146,-0.010746,0.626203,0.473703,-0.01401,0.60467,0.457365,-0.015775,0.664081,0.468873,0.004148,0.672762,0.429902,-0.014391,0.679204,0.478226,-0.026625,0.680906,0.518987,-0.0315,0.691896,0.464911,0.002159,0.701025,0.431731,-0.019169,0.705365,0.496399,-0.026612,0.704622,0.542344,-0.02579,0.71813,0.465068,-0.002926,0.72698,0.438597,-0.023644,0.725289,0.500416,-0.021611,0.720269,0.544913,-0.013657,0.742375,0.470467,-0.008548,0.747292,0.443132,-0.019995,0.743934,0.489354,-0.015124,0.737693,0.523259,-0.00756
A,0.727762,0.625762,-0.0,0.685049,0.59426,-0.012169,0.649221,0.528879,-0.015639,0.627383,0.475507,-0.01982,0.605215,0.454607,-0.021918,0.664159,0.469598,0.000414,0.673845,0.428696,-0.019487,0.679975,0.482616,-0.031174,0.681248,0.520912,-0.035527,0.691819,0.466276,-0.000373,0.70216,0.430144,-0.023455,0.705531,0.498883,-0.030367,0.704047,0.539521,-0.028938,0.7178,0.467033,-0.004552,0.72839,0.436849,-0.027741,0.72604,0.502167,-0.02483,0.720768,0.542992,-0.015729,0.741642,0.472351,-0.009406,0.748463,0.439745,-0.022109,0.744592,0.487128,-0.01674,0.737515,0.519393,-0.008533
A,0.72545,0.626169,-0.0,0.683408,0.595539,-0.01039,0.64779,0.527703,-0.012297,0.627316,0.47468,-0.015193,0.60622,0.454353,-0.016237,0.665382,0.467109,0.003475,0.669164,0.431834,-0.015381,0.677382,0.48415,-0.026882,0.68202,0.521342,-0.0312,0.6927,0.463066,0.001928,0.698863,0.432432,-0.020013,0.703393,0.500959,-0.026781,0.703801,0.541286,-0.025289,0.718656,0.464195,-0.002963,0.725051,0.438327,-0.025061,0.723718,0.503449,-0.022114,0.720231,0.542662,-0.013175,0.743129,0.469773,-0.008445,0.746149,0.441248,-0.020594,0.742759,0.488995,-0.014915,0.737337,0.519401,-0.006492
A,0.726756,0.625513,-0.0,0.684504,0.594402,-0.011039,0.647997,0.529652,-0.013489,0.626722,0.476223,-0.016887,0.605056,0.455517,-0.018223,0.664487,0.46811,0.003215,0.670339,0.431202,-0.01635,0.678463,0.48386,-0.028208,0.682641,0.521243,-0.032622,0.691793,0.463196,0.001968,0.699506,0.430312,-0.0209,0.704742,0.498345,-0.02781,0.705462,0.539293,-0.026166,0.71755,0.463861,-0.002776,0.726313,0.436876,-0.025616,0.725207,0.501219,-0.022729,0.721184,0.541606,-0.013576,0.741344,0.469639,-0.008215,0.747128,0.440935,-0.020884,0.743382,0.488749,-0.015679,0.736839,0.520256,-0.007509
A,0.726435,0.625181,-0.0,0.684615,0.593909,-0.012451,0.64826,0.529302,-0.01559,0.62656,0.476708,-0.019445,0.60515,0.455141,-0.021308,0.663767,0.470019,0.001514,0.670161,0.431418,-0.019127,0.677415,0.482004,-0.031754,0.681133,0.519285,-0.036561,0.691246,0.465037,0.000753,0.70024,0.430858,-0.023193,0.703979,0.498242,-0.030866,0.703515,0.538863,-0.02967,0.717101,0.465185,-0.003587,0.726629,0.437267,-0.027418,0.724581,0.502175,-0.024954,0.720166,0.5422,-0.015834,0.740849,0.470041,-0.008682,0.746936,0.440796,-0.021738,0.743467,0.488067,-0.016483,0.737131,0.518852,-0.008136
A,0.72488,0.624129,-0.0,0.683087,0.592511,-0.0106,0.647168,0.52799,-0.013131,0.626218,0.475778,-0.016656,0.604939,0.455358,-0.018296,0.6638,0.469877,0.002162,0.667612,0.432277,-0.01721,0.675266,0.481455,-0.028813,0.679889,0.517669,-0.033094,0.691099,0.464484,0.000712,0.696913,0.431097,-0.021429,0.701124,0.496352,-0.028097,0.701878,0.535577,-0.026685,0.716942,0.464473,-0.00408,0.723569,0.437711,-0.026225,0.722015,0.50052,-0.023363,0.718736,0.539797,-0.014498,0.741093,0.469204,-0.009507,0.744754,0.439182,-0.0215,0.741181,0.48479,-0.016103,0.735624,0.515509,-0.00801
A,0.724143,0.62502,-0.0,0.681739,0.59306,-0.01108,0.646169,0.52668,-0.013543,0.625602,0.474589,-0.016849,0.603965,0.45491,-0.018311,0.661573,0.470807,0.001806,0.671111,0.428634,-0.016812,0.675838,0.476047,-0.028161,0.676355,0.513124,-0.032523,0.689268,0.465198,0.00094,0.699091,0.428514,-0.020792,0.702592,0.493974,-0.027443,0.702131,0.536608,-0.02606,0.715174,0.464229,-0.003207,0.725081,0.434191,-0.025045,0.72291,0.497755,-0.022806,0.718277,0.541428,-0.014392,0.739237,0.468105,-0.008007,0.745443,0.437171,-0.020389,0.741329,0.483536,-0.015967,0.734222,0.517517,-0.008566
A,0.723174,0.625568,-0.0,0.681652,0.593431,-0.011044,0.645381,0.528407,-0.013328,0.623998,0.477143,-0.016599,0.60266,0.456635,-0.017984,0.663057,0.470041,0.003975,0.667948,0.430512,-0.014817,0.674877,0.477709,-0.026362,0.678396,0.514049,-0.030647,0.690788,0.463988,0.00293,0.697295,0.432155,-0.018789,0.701316,0.49787,-0.025551,0.701681,0.538166,-0.023977,0.716791,0.463616,-0.001636,0.722827,0.438482,-0.023397,0.721622,0.500574,-0.020907,0.718412,0.539167,-0.012192,0.741043,0.468518,-0.006894,0.744026,0.44013,-0.018565,0.740533,0.485642,-0.013238,0.735224,0.51556,-0.00512
A,0.72496,0.625097,-0.0,0.682318,0.596174,-0.012793,0.645642,0.527542,-0.015905,0.624046,0.47363,-0.019322,0.602151,0.453736,-0.020577,0.660269,0.469503,-0.001172,0.672125,0.426845,-0.020337,0.678474,0.480251,-0.030752,0.679322,0.518566,-0.034249,0.688375,0.465198,-0.001308,0.700635,0.427745,-0.024116,0.703429,0.496885,-0.02998,0.700853,0.538265,-0.027645,0.714173,0.46515,-0.004791,0.725567,0.435101,-0.02785,0.723119,0.500444,-0.024876,0.717131,0.540723,-0.015672,0.737734,0.469236,-0.00894,0.745397,0.437356,-0.021959,0.741501,0.485705,-0.017002,0.733563,0.518344,-0.009049
A,0.723205,0.627349,-0.0,0.681296,0.596026,-0.012125,0.646082,0.530976,-0.015291,0.624773,0.47636,-0.019331,0.602882,0.454872,-0.021291,0.661335,0.472071,0.001962,0.668935,0.428399,-0.017703,0.67489,0.481892,-0.02911,0.676688,0.518563,-0.033353,0.688804,0.466328,0.001215,0.697188,0.429755,-0.021945,0.700331,0.498218,-0.029098,0.699332,0.537769,-0.027825,0.714879,0.465896,-0.003015,0.722934,0.435845,-0.026544,0.720999,0.502313,-0.023834,0.716794,0.543286,-0.01467,0.739619,0.470133,-0.007909,0.743805,0.43855,-0.021047,0.740234,0.486377,-0.015897,0.733863,0.518991,-0.007652
A,0.721956,0.625854,-0.0,0.678647,0.592071,-0.009714,0.643234,0.525097,-0.011298,0.622969,0.473579,-0.014097,0.601943,0.45561,-0.01509,0.661843,0.469677,0.004089,0.669562,0.428206,-0.014303,0.674686,0.479031,-0.025075,0.676471,0.518161,-0.028796,0.689642,0.465561,0.002587,0.697339,0.429529,-0.019106,0.700034,0.496706,-0.025471,0.699556,0.538936,-0.023564,0.715618,0.465875,-0.002231,0.722996,0.437427,-0.023947,0.720388,0.50196,-0.021133,0.716152,0.542855,-0.012178,0.740112,0.470981,-0.007567,0.743666,0.439771,-0.019275,0.739881,0.486625,-0.013917,0.7342,0.518439,-0.005832
A,0.722147,0.626873,-0.0,0.678747,0.592194,-0.009761,0.643355,0.524268,-0.011621,0.622897,0.473481,-0.014727,0.601186,0.456922,-0.016075,0.66102,0.471543,0.003647,0.670289,0.429868,-0.014963,0.675962,0.479661,-0.02634,0.67733,0.518214,-0.030612,0.688838,0.467623,0.001955,0.698219,0.429908,-0.019851,0.701014,0.496456,-0.026573,0.699985,0.539619,-0.025046,0.714759,0.467708,-0.00304,0.724405,0.436861,-0.02476,0.721425,0.501226,-0.022226,0.716113,0.544051,-0.013545,0.738792,0.47282,-0.008612,0.744795,0.439949,-0.020425,0.740602,0.486213,-0.015281,0.733708,0.519702,-0.007425
A,0.722936,0.625717,-0.0,0.68045,0.594194,-0.011521,0.645345,0.529559,-0.014653,0.624337,0.476497,-0.018738,0.602731,0.455625,-0.020802,0.661906,0.471951,0.001871,0.670428,0.428369,-0.017985,0.675431,0.481692,-0.029504,0.676996,0.519997,-0.033623,0.689275,0.467684,0.000865,0.698216,0.429664,-0.022099,0.700127,0.498446,-0.028871,0.698732,0.538639,-0.027268,0.714752,0.46756,-0.003628,0.7238,0.43679,-0.026567,0.720601,0.50263,-0.023522,0.715853,0.543136,-0.014277,0.73847,0.471587,-0.008816,0.744268,0.438954,-0.021115,0.74012,0.486775,-0.015601,0.733501,0.519445,-0.007335
A,0.721087,0.623057,-0.0,0.680329,0.591584,-0.011808,0.64547,0.528661,-0.015714,0.624111,0.476436,-0.020417,0.602839,0.453875,-0.023189,0.660899,0.468581,0.000258,0.668881,0.427688,-0.019753,0.675318,0.478492,-0.031901,0.677541,0.516334,-0.036521,0.68861,0.464252,-0.000786,0.698035,0.429157,-0.023903,0.701217,0.495916,-0.031119,0.699983,0.537847,-0.029823,0.714471,0.464347,-0.005148,0.723804,0.437177,-0.028054,0.721498,0.500609,-0.025606,0.716478,0.541415,-0.016788,0.738346,0.468906,-0.010176,0.744074,0.43902,-0.022648,0.740182,0.485679,-0.017411,0.733244,0.517849,-0.009268
A,0.722204,0.623639,-0.0,0.67923,0.592319,-0.011824,0.64392,0.524566,-0.014684,0.623525,0.471808,-0.018358,0.601826,0.453053,-0.020116,0.661846,0.464675,0.001854,0.669366,0.427481,-0.017237,0.675959,0.480306,-0.02884,0.678344,0.518733,-0.03326,0.689201,0.460922,0.000978,0.697212,0.428651,-0.021483,0.700774,0.496245,-0.028446,0.70011,0.539215,-0.027018,0.714859,0.462145,-0.003368,0.72312,0.434704,-0.025869,0.720807,0.498839,-0.023434,0.71608,0.54142,-0.014701,0.738805,0.467896,-0.008445,0.743609,0.437167,-0.021233,0.739267,0.484522,-0.016395,0.732294,0.518616,-0.008517
A,0.721693,0.62389,-0.0,0.679668,0.591688,-0.011677,0.64453,0.525972,-0.014584,0.623758,0.474166,-0.018368,0.60256,0.454055,-0.02015,0.6604,0.470449,0.002122,0.668654,0.429611,-0.017955,0.674899,0.480588,-0.030044,0.677403,0.517892,-0.034536,0.687777,0.465933,0.001046,0.696988,0.429674,-0.022495,0.700671,0.496627,-0.029806,0.700649,0.537479,-0.028345,0.71331,0.465919,-0.003523,0.723138,0.435237,-0.026744,0.720884,0.499992,-0.023852,0.716406,0.541062,-0.014584,0.736853,0.470124,-0.008857,0.743716,0.438989,-0.021619,0.739718,0.486524,-0.016284,0.732917,0.519042,-0.007988
A,0.721546,0.618765,-0.0,0.679304,0.590761,-0.01204,0.643438,0.523456,-0.01477,0.62253,0.46931,-0.018167,0.601223,0.450839,-0.01948,0.659438,0.465679,0.00103,0.669599,0.424651,-0.018502,0.675481,0.478708,-0.029453,0.676998,0.515998,-0.033312,0.687297,0.46235,0.000153,0.696802,0.425912,-0.022568,0.700525,0.493645,-0.028633,0.700197,0.534922,-0.02646,0.712896,0.462295,-0.00431,0.721853,0.434344,-0.027021,0.720729,0.499117,-0.023801,0.717145,0.539844,-0.014444,0.73716,0.466121,-0.009533,0.741721,0.434864,-0.021936,0.739447,0.481744,-0.016708,0.734176,0.514182,-0.008628
A,0.715981,0.617317,-0.0,0.67387,0.583012,-0.009748,0.638825,0.516726,-0.011598,0.617993,0.466796,-0.014623,0.596545,0.450461,-0.015801,0.655859,0.463027,0.003812,0.666743,0.421164,-0.01484,0.671959,0.471668,-0.02613,0.672379,0.511589,-0.030165,0.682966,0.458857,0.002288,0.6936,0.42054,-0.019373,0.697202,0.484545,-0.026137,0.695583,0.527724,-0.024524,0.708271,0.45822,-0.002534,0.718563,0.430153,-0.024056,0.71728,0.492256,-0.021908,0.711954,0.533974,-0.013426,0.731644,0.462154,-0.007916,0.737497,0.432827,-0.019445,0.734746,0.477867,-0.014637,0.728507,0.509813,-0.007037
A,0.714659,0.618778,-0.0,0.673146,0.583196,-0.010477,0.638346,0.515702,-0.012715,0.61783,0.465385,-0.016009,0.596417,0.450612,-0.017487,0.655085,0.46373,0.002329,0.66699,0.420349,-0.016423,0.673606,0.470121,-0.027879,0.674338,0.510265,-0.032063,0.682449,0.458983,0.001287,0.69547,0.420888,-0.02108,0.699602,0.485706,-0.028304,0.69776,0.530958,-0.026886,0.707512,0.45826,-0.002941,0.720285,0.430049,-0.024765,0.718839,0.491994,-0.023094,0.713103,0.535637,-0.014829,0.730028,0.462247,-0.007762,0.738605,0.431758,-0.019619,0.735559,0.476936,-0.01521,0.72848,0.510968,-0.007766
A,0.714659,0.618705,-0.0,0.672298,0.584745,-0.010087,0.637617,0.518957,-0.011879,0.617337,0.467848,-0.014718,0.596264,0.450443,-0.01551,0.65244,0.467466,0.003875,0.663211,0.42106,-0.014201,0.669003,0.469075,-0.024763,0.669375,0.505552,-0.028442,0.679892,0.462145,0.002789,0.691351,0.42129,-0.018508,0.695524,0.484955,-0.024839,0.694103,0.526335,-0.023062,0.705695,0.460482,-0.001585,0.716931,0.429058,-0.023164,0.715971,0.491545,-0.020643,0.711254,0.534016,-0.011901,0.72966,0.463861,-0.006533,0.736426,0.43346,-0.018604,0.733581,0.479326,-0.014036,0.727324,0.512721,-0.006469
A,0.713279,0.617003,-0.0,0.671458,0.583178,-0.009636,0.637066,0.518544,-0.011498,0.617122,0.468005,-0.014753,0.596338,0.449162,-0.016078,0.653606,0.46477,0.004976,0.663856,0.420438,-0.013938,0.669685,0.469367,-0.025145,0.67077,0.505806,-0.029073,0.680823,0.460815,0.003313,0.692527,0.421166,-0.019098,0.696125,0.486755,-0.025959,0.694684,0.527448,-0.024267,0.705893,0.460507,-0.001737,0.717293,0.430552,-0.024215,0.715842,0.494621,-0.021706,0.710938,0.535508,-0.012674,0.729039,0.464752,-0.007317,0.736545,0.432924,-0.019154,0.73364,0.478862,-0.013901,0.727273,0.510766,-0.005781
A,0.714431,0.616681,-0.0,0.67116,0.584758,-0.010599,0.636426,0.517182,-0.011952,0.615983,0.465552,-0.014438,0.594385,0.449549,-0.014914,0.651973,0.463941,0.005544,0.664788,0.4201,-0.013079,0.670232,0.471113,-0.023519,0.669907,0.505555,-0.027051,0.678997,0.45954,0.00443,0.692029,0.421168,-0.018144,0.695785,0.488664,-0.024494,0.694179,0.527088,-0.022196,0.704376,0.458411,-0.000304,0.716859,0.429554,-0.023417,0.715628,0.49516,-0.02068,0.710633,0.534436,-0.011246,0.728271,0.461801,-0.005633,0.735788,0.432096,-0.017915,0.733013,0.480178,-0.012763,0.726595,0.511478,-0.004614
A,0.712731,0.615458,-0.0,0.670689,0.582043,-0.009509,0.635951,0.51574,-0.011237,0.615809,0.464697,-0.014365,0.595048,0.448313,-0.015884,0.654584,0.459851,0.004753,0.663046,0.420502,-0.013633,0.668823,0.469617,-0.025233,0.670087,0.508918,-0.029629,0.681583,0.456486,0.003002,0.690657,0.421611,-0.018626,0.694737,0.486868,-0.025703,0.694387,0.531183,-0.024364,0.706695,0.457231,-0.002084,0.715598,0.429816,-0.023923,0.714426,0.49295,-0.02215,0.710343,0.536711,-0.013798,0.730407,0.462594,-0.007699,0.735615,0.432033,-0.019986,0.732453,0.477811,-0.015488,0.72652,0.512012,-0.007885
A,0.714106,0.617319,-0.0,0.671637,0.584066,-0.010958,0.636628,0.516437,-0.012479,0.615803,0.465176,-0.014986,0.594912,0.448973,-0.015434,0.652622,0.462781,0.004707,0.664142,0.420393,-0.014397,0.669405,0.47119,-0.025399,0.669762,0.507224,-0.029217,0.6799,0.459227,0.003627,0.69142,0.422383,-0.019001,0.694405,0.489991,-0.02539,0.69254,0.528643,-0.023159,0.705247,0.459199,-0.001181,0.716505,0.430581,-0.024044,0.714227,0.495295,-0.021542,0.708657,0.534031,-0.012391,0.728771,0.463788,-0.006666,0.736105,0.432965,-0.018819,0.732458,0.479547,-0.013898,0.725429,0.510442,-0.006008
A,0.713231,0.614991,-0.0,0.670094,0.581318,-0.009426,0.635967,0.514693,-0.010794,0.616369,0.464285,-0.01354,0.595606,0.448247,-0.014556,0.653689,0.460541,0.005758,0.662358,0.42187,-0.012263,0.668332,0.472159,-0.023549,0.67023,0.5093,-0.027815,0.680593,0.457169,0.00407,0.689951,0.422221,-0.017854,0.694105,0.488544,-0.025069,0.69413,0.530956,-0.023707,0.705534,0.457693,-0.000938,0.715274,0.429829,-0.022678,0.713649,0.493156,-0.020621,0.709299,0.535439,-0.012138,0.728712,0.462532,-0.006526,0.735033,0.432627,-0.018377,0.731677,0.478438,-0.013603,0.725489,0.511316,-0.005908
A,0.713194,0.614753,-0.0,0.67044,0.583222,-0.009038,0.636138,0.516893,-0.010478,0.616711,0.465556,-0.013345,0.595875,0.448907,-0.01453,0.654726,0.461493,0.005067,0.661725,0.422135,-0.012884,0.668127,0.472231,-0.024162,0.671346,0.511715,-0.028272,0.681366,0.45781,0.003355,0.688845,0.422742,-0.017698,0.693025,0.487446,-0.024479,0.694059,0.53143,-0.02303,0.706321,0.458714,-0.001625,0.71454,0.429307,-0.022578,0.712825,0.491471,-0.020447,0.709264,0.535116,-0.012146,0.729733,0.463848,-0.007163,0.734811,0.431291,-0.018766,0.731206,0.475776,-0.014125,0.725608,0.509556,-0.006644
